case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间
0,779468,查看是否有广告弹出,北京市|北京市|昌平区|太平庄北街|,"Huawei  S8-701u","Android 4.3","WIFI ",unknown,S8-701uV100R001C233B008,按照提示的要求进行操作，点击到全球购页面时，会有广告弹出，如截图所示。,按照提示的要求进行操作，点击到全球购页面时，会有广告弹出，如截图所示。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7465721_83e62bd5-2b74-4716-b9fb-70a2e0b01d80.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7465720_281213ca-768d-4fe6-a50c-df8385a4da37.jpg""]",未知,P0,审核不通过,"2015-11-25 19:03:11"
0,2362747,查看是否有广告弹出,广东省|东莞市|东莞市市辖区|环岛路|7,"Coolpad  Coolpad 5950","Android 4.1.2","WIFI ",中国电信,4.1.046.P0.141224.5950,筛选条件太少了，鞋子类边男女都没得选？,筛选条件太少了，鞋子类连基本的男女都没得选。材质也没得选。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7470664_de176628-ae15-4014-b49c-eef6db37584d.jpg""]",未知,P0,审核不通过,"2015-11-25 22:33:08"
0,11631802,查看是否有广告弹出,广东省|中山市|中山市市辖区|隆发路|13-b,"Huawei  HUAWEI G7-UL20","Android 4.4.4","WIFI ",中国联通,G7-UL20V100R001CHNC00B265,韩国馆有页面内容错乱和走位情况出现，看截图。,韩国馆有页面内容错乱和走位情况出现，看截图。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7497969_fcf678fe-39bd-4b6c-bd50-b35d80116479.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7497968_42776cb6-5f65-4888-a022-96224f8c976a.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7497967_2c79629b-28d7-49ea-bc98-6d0139208c23.jpg""]",未知,P0,审核不通过,"2015-11-26 16:26:05"
