case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间
0,1234118,安装应用,广东省|东莞市|东莞市市辖区|西城一环路|,"samsung  GT-S6358","Android 2.3.6","WIFI ",中国移动,GINGERBREAD.ZMMH2,下载安装后，进入不了指纹界面,下载安装后，进入不了指纹界面，引出强行关闭框。,[],未知,P0,审核通过,"2016-03-31 18:23:13"
10,2872823,Bug专用,福建省|福州市|马尾区|马江路|8号,"Xiaomi  HM 2A","Android 4.4.4","WIFI ",中国联通,KTU84P,不是ID不一致的问题，从第6布后，改成繁体，时间什么什么的截图都没有了。（没做选做的）,不是ID不一致的问题，从第6布后，改成繁体，时间什么什么的操作截图都没有了。选择上传截图的页面也不一样了，本来红线处有“照片”“本地“”云“等选项，怎么没了（没做选做的）,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/17700398_3dbfb0f2-6431-4fd0-842a-a33b92e73b43.jpg""]",未知,P0,审核通过,"2016-03-31 18:22:29"
1,3056766,网络环境,安徽省|合肥市|肥西县|西藏路|,"Xiaomi  HM NOTE 1S","Android 4.4.4"," ",无SIM卡,KTU84P,无法获得【LOG】的信息，界面没有变化,"点击底部【获取DEVICE ID】按钮后没有得到任何提示，界面停留在该界面，看不到【LOG】的信息，始终为空",[],未知,P0,审核通过,"2016-03-31 18:18:02"
2,3056766,重启手机,安徽省|合肥市|肥西县|西藏路|,"Xiaomi  HM NOTE 1S","Android 4.4.4"," ",无SIM卡,KTU84P,"重启后获得的【DEVICE ID】的信息无变化","重启后得到的【DEVICE ID】的信息完全一样啊，日志依然无内容",[],未知,P0,审核不通过,"2016-03-31 18:18:26"
3,3056766,更改系统时间及语言,安徽省|合肥市|肥西县|西藏路|,"Xiaomi  HM NOTE 1S","Android 4.4.4"," ",无SIM卡,KTU84P,"时间改了，获得的【DEVICE ID】的信息依然不变","时间由19:26改成7:24，完全退出重进后，获得的【DEVICE ID】的信息依然不变，【LOG】的信息还是为空",[],未知,P0,审核不通过,"2016-03-31 18:19:47"
10,11595708,Bug专用,上海市|上海市|普陀区|中江路|68号,"Huawei  PE-TL20","Android 4.4.2","mobile LTE",中国移动,PE-TL20V100R001CHNC00B200,"DEVICE ID不一致","DEVICE ID不一致，重新启动手机后再获取DEVICE ID不一致就不一致了。","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/19065528_90aa612b-f0d9-408e-9e8e-a3a4097900f6.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/19065527_5f5ed241-df9e-48d0-a044-e4b21976c466.jpg""]",未知,P0,审核通过,"2016-03-31 18:23:08"
2,14276942,重启手机,江苏省|淮安市|涟水县|S329(炎黄大道)|,"Coolpad  Coolpad 8675-W00","Android 4.4.4","WIFI ",中国联通,4.4.059.P1.150831.8675-W00,"重启手机之后，打开软件，显示”很抱歉，“设备指纹示例”已停止运行"".","重启手机之后，打开软件，显示”很抱歉，“设备指纹示例”已停止运行"".",[],未知,P0,审核通过,"2016-03-31 18:22:45"
10,14376974,Bug专用,广东省|广州市|越秀区|菜园东|11号,"Xiaomi  Redmi Note 3","Android 5.0.2","WIFI ",中国联通,LRX22G,"无法读取LOG日志 尝试多次均无法读取。。。。。","无法读取LOG日志 尝试多次均无法读取。。。。。","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/17638118_0986bb00-c647-430a-b58e-373167ae99a8.jpg""]",未知,P0,审核不通过,"2016-03-31 18:21:42"
0,14936807,安装应用,海南省|海口市|龙华区|城南路|,"motorola  XT1058","Android 5.1","MOBILE HSPA+",中国联通,LPA23.12-21.1,在4g和wifi网络下，均出现网络错误,在4g和wifi网络下，获取设备ID时，均出现网络错误，,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/18527782_7dd5fdc5-f71c-48e9-85b6-d2836b23ad17.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/18527781_68aef901-6687-4207-8ebe-6b48ac7c6430.jpg""]",未知,P0,审核通过,"2016-03-31 18:22:58"
8,15419237,更换系统登录用户（选做）,广东省|广州市|番禺区|大学城外环西路|,"Huawei  G620S-UL00","Android 4.4.4","WIFI ",中国联通,G620S-UL00V100R001C17B382,手机熄屏功能失效。。。,下载次软件后，手机的熄屏功能失效，无论是通过侧边物理键还是通过手机自带虚拟键都无法将手机熄屏。,[],未知,P0,审核通过,"2016-03-31 18:17:41"
10,16558080,Bug专用,河南省|南阳市|卧龙区|G40(沪陕高速公路)|,"sprd  K-Touch T780+","Android 2.3.5","WIFI ",中国联通,TBT961011_8990_V0101,进入软件闪退，提示：应用程序指纹……省略……意外停止，系统多次尝试修复无效，请使用同类其他软件。,进入软件闪退，提示：应用程序指纹……省略……意外停止，系统多次尝试修复无效，请使用同类其他软件。每次都是。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/18239411_3593f588-959a-4e86-b3cd-017dacebdec2.jpg""]",未知,P0,审核通过,"2016-03-31 18:22:50"
10,16685571,Bug专用,江苏省|徐州市|贾汪区|G206(徐海路)|null,"nubia  NX403A","Android 4.2.2","WIFI ",中国移动,NX403A_CNCommon_V0.22,"点击底部【获取DEVICE ID】按钮，无任何反应。","成功下载、安装，运行时点击底部【获取DEVICE ID】按钮，无任何反应。手机型号努比亚z5smini",[],未知,P0,审核通过,"2016-03-31 18:21:58"
1,16873781,网络环境,河北省|邯郸市|鸡泽县|S214|,"Huawei  H60-L01","Android 4.4.2","WIFI ",unknown,H60-L01V100R001CHNC00B317,使用不同的WiFi网络获取的ID号相同,使用两个不同的WiFi网络获取的ID号相同,[],未知,P0,审核不通过,"2016-03-31 18:24:37"
4,16873781,删除应用,河北省|邯郸市|鸡泽县|S214|,"Huawei  H60-L01","Android 4.4.2","WIFI ",unknown,H60-L01V100R001CHNC00B317,卸载应用后再次安装，ID号安装之前不一样,卸载应用后再次安装，ID号安装之前不一样,[],未知,P0,审核通过,"2016-03-31 18:24:48"
5,16873781,清除缓存,河北省|邯郸市|鸡泽县|S214|,"Huawei  H60-L01","Android 4.4.2","WIFI ",unknown,H60-L01V100R001CHNC00B317,清除缓存后，ID号与卸载后重新安装的ID号相同,清除缓存后，ID号与卸载后重新安装的ID号相同,[],未知,P0,审核不通过,"2016-03-31 18:25:27"
10,16873781,Bug专用,河北省|邯郸市|鸡泽县|S214|,"Huawei  H60-L01","Android 4.4.2","WIFI ",unknown,H60-L01V100R001CHNC00B317,应用安装测试卸载后，再次安装并打开ID号与之前不同,应用安装测试卸载后，再次安装并打开ID号与之前不同,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/19882827_e887dcac-53d3-444b-b383-ffd8b51c0aac.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/19882826_84e19e6a-0769-4570-ac14-03e4eee68292.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/19882825_5c4d89f8-d295-4ac6-8d67-062e6d079596.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/19882824_fd74c25d-10a6-4841-9a56-9afbd103fbcf.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/19882823_fe27b083-3e42-419a-8759-d714d91aa57a.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/19882821_da959c2d-79dd-42a4-9646-9b70588c994f.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/19882820_c88af335-552b-43b6-94f2-29df2d907462.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/19882818_39ad4e02-dd20-4298-9476-fdf037f04ac0.jpg""]",未知,P0,审核通过,"2016-03-31 18:26:08"
10,16929986,Bug专用,上海市|上海市|浦东新区|虹盛路|215号,"Meizu  m2 note","Android 5.1"," ",中国联通,"Flyme OS 4.5.4.2A","【更改系统时间及语言】出现DEVICE ID和其他测试用例不一致的情况","通过【设置】更改【系统时间】和【语言】后，在联网的情况下，打开应用；
点击底部【获取DEVICE ID】按钮；
查看并记录【DEVICE ID】的信息；
查看【LOG】的信息；","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/17728715_486505be-a604-44cc-9a34-d8ed1c3214a9.jpg""]",未知,P0,审核通过,"2016-03-31 18:22:40"
