case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间
0,211775,首页滑动点击体验,河北省|石家庄市|桥西区|工农路|,"Lenovo  Lenovo S898t+","Android 4.4.2","WIFI ",中国移动,VIBEUI_V2.0_1437_7.3.1_ST_S898,首页手动后地球转就不自动转动了,打开首页，地球在自转，手动拨动后，地球有时会停在某处不在转动。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2607246_e3fb14cc-819d-4c48-9ed4-2e7b8a661dad.jpg""]",未知,P0,审核不通过,"2015-02-11 12:21:10"
1,808874,测试飞行轨迹是否正常,四川省|达州市|大竹县|竹阳北路|111号,"nubia  NX403A","Android 4.4.2","WIFI ",中国电信,NX403A_CNCommon_V1.25,"将图片拖动的时候 飞行轨迹会断线  非常影响美观","将图片拖动的时候 飞行轨迹会断线  非常影响美观  轨迹可以搞得更加平滑 现在的轨迹线美观度不够","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2608397_6c0a6841-8bf5-4dc0-9ed5-f90015cb45dc.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2608396_afd8f8ff-71aa-4b0d-9258-cc9b4e11ea57.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2608395_86b9d514-05cb-400f-94ae-90b7d246cb14.jpg""]",已知,P3,审核通过,"2015-02-11 13:28:40"
4,808874,“摇一摇”功能测试,四川省|达州市|大竹县|竹阳北路|111号,"nubia  NX403A","Android 4.4.2","WIFI ",中国电信,NX403A_CNCommon_V1.25,希望增加卡片上翻功能,"希望增加卡片上翻功能   向上翻动航班号原封不动  影响操作体验","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2608402_f2131fec-1d1a-4f47-9bca-bd3476f85820.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2608401_86c5d40b-6080-4f00-9179-c3088e7f4db1.jpg""]",未知,P0,审核不通过,"2015-02-11 13:28:40"
3,1262360,“嗅探”功能测试,天津市|天津市|滨海新区|太平街|51号,"Teclast  G18mini(C5B9)","Android 4.2.2","WIFI ",中国移动,V1.21_20131224,提示没有传感器提示没有传感器,提示没有传感器点嗅探就提示没有传感器提示没有传感器点嗅探就提示没有传感器,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2607182_ade0b2ce-4af2-4d76-ad88-e75c2c72e1a2.jpg""]",未知,P0,审核不通过,"2015-02-11 12:15:21"
1,4565355,测试飞行轨迹是否正常,北京市|北京市|朝阳区|汤立路|201号院-6-105,"Huawei  HUAWEI A199","Android 4.1.2","mobile CDMA - EvDo rev. A",中国电信,A199V100R001C92B132,显示航班信息及海拔、航向那页，地图不能跟随飞机移动，用户怎么知道飞机的未来轨迹呢,两分钟内，飞机飞过地图所示地图区域，地图未及时跟上飞机,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2607486_0098aeba-afee-4b8b-9345-e3b6af944180.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2607485_116784ff-33b5-4bef-acff-e5ffea4da9fa.jpg""]",未知,P0,审核不通过,"2015-02-11 12:37:10"
3,8029010,“嗅探”功能测试,山西省|运城市|万荣县|万临线|,"Xiaomi  MI 1S","Android 4.0.4","WIFI ",中国联通,4.0.4-QDR68-深度精简优化版,相机打开失败有时候会这样,"相机打开失败 按下嗅探时,有时候会这样也不知道怎么解决","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2607507_80314316-7bc2-4c29-b983-4e25fac38591.jpg""]",未知,P0,审核不通过,"2015-02-11 12:37:55"
1,11796247,测试飞行轨迹是否正常,江苏|无锡,"htccn_chs  HTC Incredible S","Android 4.0.4","WIFI ",中国移动,IMM76D,点击右下角的箭头按钮，没有箭头按钮,"点击右下角的箭头按钮，没有箭头按钮 感觉操作不是很方便 GPS打开定位总是错误","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2607280_df0dcb1f-32e4-49db-b770-f95e81646da7.jpg""]",未知,P0,审核不通过,"2015-02-11 12:25:44"
2,11796247,手动搜索航班信息测试,江苏|无锡,"htccn_chs  HTC Incredible S","Android 4.0.4","WIFI ",中国移动,IMM76D,"搜索ca1 无任何联想航班显示","返回至全量飞机页，并点击上方的搜索框，搜索ca1 无任何联想航班显示","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2607281_d9200e9f-0473-401d-b082-bb0f1cab21ae.jpg""]",已知,P2,审核通过,"2015-02-11 12:25:44"
3,11796247,“嗅探”功能测试,江苏|无锡,"htccn_chs  HTC Incredible S","Android 4.0.4","WIFI ",中国移动,IMM76D,重新返回至全量飞机页，并点击左上角的“嗅探”按钮，但是无任何飞机显示,重新返回至全量飞机页，并点击左上角的“嗅探”按钮,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2607282_ee32caa5-0531-41d2-a9a8-b111baaee1c3.jpg""]",未知,P0,审核不通过,"2015-02-11 12:25:44"
3,13994622,“嗅探”功能测试,天津市|天津市|滨海新区|太平街|51号,"Lenovo  Lenovo S820","Android 4.2.2","WIFI ",中国移动,VIBEROM_V1.0_1415_2_ST_S820,"也不能说是BUG 提示我没有传感器","也不能说是BUG 提示我没有传感器 不用什么步骤 就点嗅探就这样了","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2607118_ee38d48c-2ae0-474d-bdca-ee24417831ae.jpg""]",未知,P0,审核不通过,"2015-02-11 12:09:34"
