case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间
0,1684398,聊天,重庆市|重庆市|渝北区|锦湖路|80号,"Xiaomi  MI 2SC","Android 5.0.2","WIFI ",中国移动,LRX22G,工作页面无法加载，刷新后也无法加载,按照上述步骤进行，发现工作页面无法加载，刷新后也无法加载。多次刷新后也是无发加载。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/6743578_061fb22f-9675-49a3-aa2c-f12cac8f5aa7.jpg""]",未知,P0,审核通过,"2015-11-09 23:45:17"
0,2612133,聊天,上海|上海,"SEMC  LT26i","Android 4.1.2","WIFI ",中国移动,6.2.B.1.96,无法收到注册验证码和电话接听验证码,"尝试 短信发送 与 接听电话 获取均无效 尝试手机接收其他 软件注册验证码 没有异常","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/6784374_886564a7-95e3-4995-813b-b985dee5e2f2.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/6784373_9246d1b3-678b-449a-90bd-de8050a64328.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/6784372_0965814e-aab5-4aac-b659-a83a6cb4043b.jpg""]",未知,P0,审核通过,"2015-11-10 15:34:56"
0,3463911,聊天,四川|成都,"Xiaomi  HM 1S","Android 4.4.4","WIFI ",中国电信,KTU84P,安装完成后打开APP提示软件出错，马上关闭，关闭后重新打开又是正常的，卸载后重新安装打开也是正常的，这情况只出现在我第1次安装打开的时候,安装完成后打开APP提示软件出错，马上关闭，关闭后重新打开又是正常的，卸载后重新安装打开也是正常的，这情况只出现在我第1次安装打开的时候,[],未知,P0,审核不通过,"2015-11-09 22:18:20"
0,11597463,聊天,山西|晋中,"Honor  HONOR H30-L01","Android 4.4.2","WIFI ",中国移动,H30-L01V100R001CHNC00B271,初次打开软件出现崩溃,在下载安装后第一次打开软件，进入到登录注册界面是出现卡死现象，无法操作，无路时点击注册还是退出都不可以操作，同时后台显示当时网速达到600~800kb/s左右，猜想可能是软件后台为第一次登陆准备数据造成的卡死，后弹出“无响应”的对话框，死机，退出后重新启动无障碍。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/6739743_c0635b31-c36a-413b-809e-374c7e8a2538.jpg""]",未知,P0,审核通过,"2015-11-09 21:28:50"
0,14539706,聊天,北京|北京,"Xiaomi  MI NOTE LTE","Android 4.4.4","WIFI ",中国移动,KTU84P,"建议提供app测试账户
作为测试APP要注册有泄露隐私风险","建议提供app测试账户
作为测试APP要注册有泄露隐私风险","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/6742907_2b0561fa-2738-4983-ad94-60e96e1d365b.jpg""]",未知,P0,审核不通过,"2015-11-09 23:15:12"
