case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间
0,187820,易财富安卓测试,北京市|北京市|房山区|高家坡路|,"Coolpad  YL-Coolpad 9960","Android 4.1.1","WIFI ",无SIM卡,4.1.097.P2.130604.9960,软件安装后自动登入一个名叫“吴春雨”的账户,软件安装后自动登入一个名叫“吴春雨”的账户。退出该账户，并卸载软件，重新安装依旧登入该用户。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7777825_4c4640a9-b228-483f-8f9c-575879710b11.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7777824_6b8b5f66-6bc7-442b-8690-72be6f175282.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7777823_36eb8279-6c23-434e-abd3-ace8a6a90624.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7777822_b7bb8f63-f4fa-4ba1-8ea2-c95acc0faf5c.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7777821_de7a4802-7d6d-4f19-80fe-247a84a40bad.jpg""]",未知,P0,审核通过,"2015-12-04 15:07:07"
0,187820,易财富安卓测试,北京市|北京市|房山区|高家坡路|,"Coolpad  YL-Coolpad 9960","Android 4.1.1","WIFI ",无SIM卡,4.1.097.P2.130604.9960,横竖屏切换时，自动转入手势界面,手机横竖屏置为“可切换”状态。软件适配竖屏界面，在任意界面，当手机由竖屏转为横屏时，出现九宫格手势输入界面，多次测试均出现此情况。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7777825_4c4640a9-b228-483f-8f9c-575879710b11.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7777824_6b8b5f66-6bc7-442b-8690-72be6f175282.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7777823_36eb8279-6c23-434e-abd3-ace8a6a90624.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7777822_b7bb8f63-f4fa-4ba1-8ea2-c95acc0faf5c.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7777821_de7a4802-7d6d-4f19-80fe-247a84a40bad.jpg""]",未知,P0,审核通过,"2015-12-04 15:07:07"
0,187820,易财富安卓测试,北京市|北京市|房山区|高家坡路|,"Coolpad  YL-Coolpad 9960","Android 4.1.1","WIFI ",无SIM卡,4.1.097.P2.130604.9960,在“易财富”界面，切换三个选项卡，点击两个定期宝进入之后依旧是活期宝,刚开始打开手机软件没有问题，但是当你旋转屏幕后（进行上面提到的横竖转屏）再次重新进入页面后，切换到“易财富”界面，分别切换“活期宝、定期宝A和定期宝B”三个选项卡，每个选项卡中圆形“年化收益6%”按钮都是一样的信息，每个选项卡点击进去都显示是活期宝的信息，里面的收益率都变成了12%。返回主界面，再分别点击三个选项卡下面的“立即投资”，出现的也都是同样的活期宝投资金额，计息日期也是在11月11日。在当前界面输入金额后，点击下面的确定按钮，会出现提示“系统异常，请稍后重试”,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7777825_4c4640a9-b228-483f-8f9c-575879710b11.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7777824_6b8b5f66-6bc7-442b-8690-72be6f175282.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7777823_36eb8279-6c23-434e-abd3-ace8a6a90624.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7777822_b7bb8f63-f4fa-4ba1-8ea2-c95acc0faf5c.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7777821_de7a4802-7d6d-4f19-80fe-247a84a40bad.jpg""]",未知,P0,审核通过,"2015-12-04 15:07:07"
0,779468,易财富安卓测试,北京市|北京市|昌平区|太平庄北街|,"Huawei  S8-701u","Android 4.3","WIFI ",unknown,S8-701uV100R001C233B008,进入之后，没有做任何的登陆，点击“更多”，竟然会有账号信息，有名字也有电话和身份证。。。。。,进入之后，没有做任何的登陆，点击“更多”，竟然会有账号信息，有名字也有电话和身份证。。。。。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7750798_200c868a-6291-4158-bbed-964655dace2c.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7750797_0b99dac8-0fcb-42b8-a206-473bf76914d1.jpg""]",未知,P0,审核通过,"2015-12-03 23:27:29"
0,779468,易财富安卓测试,北京市|北京市|昌平区|太平庄北街|,"Huawei  S8-701u","Android 4.3","WIFI ",unknown,S8-701uV100R001C233B008,打开app，点击“立即投资”，输入金额，然后确认，随便输入一个密码，系统提示支付错误请联系客服，怎么不是提示密码错误？,打开app，点击“立即投资”，输入金额，然后确认，随便输入一个密码，系统提示支付错误请联系客服，怎么不是提示密码错误？,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7750798_200c868a-6291-4158-bbed-964655dace2c.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7750797_0b99dac8-0fcb-42b8-a206-473bf76914d1.jpg""]",未知,P0,审核通过,"2015-12-03 23:27:29"
0,2787376,易财富安卓测试,河北省|石家庄市|栾城县|栾城大街|,"Lenovo  Lenovo A750","Android 4.0.3","WIFI ",无SIM卡,A750_S306_120530,第一次可登录，第二次打开就直接停止运行,第一次可登录，第二次打开就直接停止运行，多次打开效果一样,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7749135_5a9c612b-8f0d-408d-808b-f07b6d37c3da.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7749134_86f929dd-ded5-44bf-b09c-b92025f66247.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7749133_093c06ba-ec95-4d41-bb16-58336266cc08.jpg""]",未知,P0,审核通过,"2015-12-03 21:44:55"
0,14343379,易财富安卓测试,浙江省|温州市|瑞安市|陶山南路|,"HUAWEI  Hol-T00","Android 4.2.2","WIFI ",中国移动,Holly-T00V100R001CHSC01B076,下载安装以后直接就登陆了别人的账号,下载安装打开以后点击右下角的更多，页面显示账号吴春雨还有他的手机号，点击一下他的账号信息甚至连身份证号都有,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7757863_0ece2af0-613c-48fa-9c4c-0d26a373df27.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7757862_7dab1c19-9a0d-4a08-a509-f2433da15fea.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7757861_768089ae-eef6-4224-85f7-337440ec4ab9.jpg""]",未知,P0,审核通过,"2015-12-04 08:52:36"
0,14376974,易财富安卓测试,广东省|广州市|越秀区|东川路|96号,"Xiaomi  HM NOTE 1W","Android 4.4.2","mobile HSPA+",中国联通,JH3CN0.0-9a804de0c54b914fc25fb,"安装APP后 打开 发现APP不用登陆 账户也是别人的 也不能退出 我要赎回不大于可以赎回金额也不行啊","安装APP后 打开 发现APP不用登陆 账户也是别人的 也不能退出 我要赎回不大于可以赎回金额也不行啊","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7769189_0f6e2ffb-8128-4f1c-adc9-51bff248de28.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7769188_c6a65ef3-899b-43b9-84a5-7eee7601a09d.jpg""]",未知,P0,审核通过,"2015-12-04 12:38:04"
0,14539706,易财富安卓测试,北京市|北京市|海淀区|友谊路|102号,"Xiaomi  MI NOTE LTE","Android 4.4.4","mobile LTE",中国移动,KTU84P,"注册界面 手机号输入框应限制输入数字为11位","注册界面 手机号输入框应限制输入数字为11位","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7757766_9efedb14-16d7-44f6-9c58-0f59cbb5709a.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7757765_9d3da812-6c6e-4e16-899f-29d17c32543a.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7757763_2cae5083-a90c-4345-a8a3-97d3297330d1.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7757762_d084bb02-11b2-44aa-95ba-8a91fc151a59.jpg""]",未知,P0,审核不通过,"2015-12-04 09:21:35"
0,14539706,易财富安卓测试,北京市|北京市|海淀区|友谊路|102号,"Xiaomi  MI NOTE LTE","Android 4.4.4","mobile LTE",中国移动,KTU84P,"登陆界面 手机号输入框应限制输入数字为11位","登陆界面 手机号输入框应限制输入数字为11位","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7757766_9efedb14-16d7-44f6-9c58-0f59cbb5709a.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7757765_9d3da812-6c6e-4e16-899f-29d17c32543a.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7757763_2cae5083-a90c-4345-a8a3-97d3297330d1.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7757762_d084bb02-11b2-44aa-95ba-8a91fc151a59.jpg""]",未知,P0,审核不通过,"2015-12-04 09:21:35"
