case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间
0,6149761,试玩体验,贵州省|毕节市|黔西县|X720(黔金路)|,"Honor  CHM-CL00","Android 4.4.4","WIFI ",中国电信,CHM-CL00V100R001C92B162,这游戏太黑了，一进去就弹出领取的界面，一点就被告扣钱，不点确定就不会消失，建议下次别发这种测试了。,这游戏太黑了，一进去就弹出领取的界面，一点就被告扣钱，不点确定就不会消失，建议下次别发这种测试了。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/6514343_e6c86db2-c1a6-499f-aef8-deda2b7c5e9e.jpg""]",未知,P0,审核通过,"2015-11-04 20:31:47"
0,14185881,试玩体验,河南省|鹤壁市|淇滨区|漓江路|,"Xiaomi  MI 1S","Android 4.1.2","WIFI ",无SIM卡,JZO54K,在试玩的过程中一直弹出窗口,打开游戏在玩的过程中不定时的弹出闯关大礼包的窗口，间断的时间很短，很是影响游戏得玩耍。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/6515987_f1f799f5-efb5-4ffd-b37c-77a4ecd69efa.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/6515986_32687f16-0ef7-4408-9ddc-825b94cd4977.jpg""]",未知,P0,审核不通过,"2015-11-04 20:47:45"
0,14376974,试玩体验,广东省|广州市|越秀区|菜园东|11号,"Xiaomi  HM NOTE 1W","Android 4.4.2","mobile HSPA+",中国联通,JH3CN0.0-9a804de0c54b914fc25fb,"乱扣话费 真实流氓软件","刚刚打开APP的时候 不小心点击了全部领取那个图片 然后116114马上发短信过来说 支付验证码 然后我再查话费就少了 真坑","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/6516816_34e6e0e5-9579-4240-b211-1e34a1f6fcce.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/6516815_a0452512-e956-4856-88bc-a0150ab6592a.jpg""]",未知,P0,审核通过,"2015-11-04 20:57:17"
0,14927138,试玩体验,北京市|北京市|海淀区|上地十街|10号,"google  Nexus 5","Android 4.4.3","WIFI ",无SIM卡,KTU84M,游戏结束，按返回键无法退出。,游戏完了之后，按返回键多次均无效。无奈只能点击home键，从后台关闭。希望可以改进一下，有可能是我机型和系统的缘故。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/6513199_b323b451-21d3-4e09-8df9-5f426558f53c.jpg""]",未知,P0,审核通过,"2015-11-04 19:58:10"
