case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间
0,1835560,定位测试,北京市|北京市|朝阳区|G102(朝阳路)|,"Honor  Che2-TL00","Android 4.4.2","mobile LTE",中国移动,"Che2-TL00 V100R001CHNC00B287",点击开始测试后旋转屏幕定位异常终止,"在屏幕旋转功能开启状态下，点击开始测试，此时定位正常，竖屏旋转成横屏模式或者横屏旋转成竖屏模式后定位终止，定位点消失。手机型号为 华为荣耀4x",[],已知,P2,审核通过,"2016-03-17 14:58:36"
0,3912413,定位测试,四川省|成都市|郫县|天辰路|,"samsung  GT-I9308","Android 4.3","WIFI ",中国移动,JSS15J.I9308ZMUBNI1,"半个小时了一直在测试,早已超过了10分钟","半个小时了一直在测试,早已超过了10分钟","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/14919034_f01d7bd8-6b1f-481e-b483-d3441d7db987.jpg""]",未知,P0,审核不通过,"2016-03-17 14:58:56"
0,14555919,定位测试,河北省|石家庄市|桥西区|君苑巷|,"vivo  vivo Y35A","Android 5.0.2","WIFI ",中国移动,"LRX22G release-keys",有时会有闪退的现象出现，软件还不太稳定。,有时会有闪退的现象出现，软件还不太稳定。可以查明原因，谢谢。,[],未知,P0,审核不通过,"2016-03-17 14:59:12"
0,16895725,定位测试,辽宁省|沈阳市|铁西区|凌空二街|,"Xiaomi  MI NOTE LTE","Android 4.4.4","WIFI ",中国联通,KTU84P,定位不准，静止不动的情况下，定位地点不停的跳跃。,原地不动晃动手机定位地点会不准，本人所在地周围全是红点和绿点儿~手机在静止不动的情况下，定位地点会不停的跳跃在已经显示的红点和绿点儿上。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/14894435_3124b5a0-b8e3-4a13-85a4-db05f36fe204.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/14894434_d0b20983-45ad-4cf8-a3e5-4df8883a7701.jpg""]",已知,P2,审核通过,"2016-03-17 14:59:39"
