case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间
1,295817,登录百度帐号，并创作一个视频,安徽省|合肥市|瑶海区|文忠路|,"UBTEL  UBTEL U9","Android 4.2.1","WIFI ",中国联通,"UBTEL U9 20141014-150631",软件打开提示出现问题，创作视频，无法起名,软件一打开就提示软件出现问题，创作视频，最后无法起名，创作不了。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/3539214_ee19208e-68a6-4f33-ac8b-b1286df245d7.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/3539213_88ed3ea4-11c5-4c5c-a34a-905fbeefe16b.jpg""]",已知,P3,审核通过,"2015-05-28 10:27:51"
2,295817,分享创作好的视频（到微信或微博）,安徽省|合肥市|瑶海区|文忠路|,"UBTEL  UBTEL U9","Android 4.2.1","WIFI ",中国联通,"UBTEL U9 20141014-150631",无法正常创作视频，无法起名。,在最后起名时，提示出错。视频创作不了。无法分享。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/3539215_e46117f5-6b73-4bca-8fcd-3a1663710750.jpg""]",未知,P0,审核不通过,"2015-05-28 10:27:51"
1,1009996,登录百度帐号，并创作一个视频,河南省|郑州市|管城回族区|经南二路|东段,"Huawei  HUAWEI G750-T01","Android 4.2.2","WIFI ",中国移动,"G750-T01 V100R001CHNC00B152",无法登陆或者是无法更换账号,"无法登陆或者是无法更换账号  打开就有一个账号  想更换自己的账号却找不到更换方式","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/3536842_8e9906e1-edd0-4cae-8987-05748685336b.jpg""]",未知,P3,审核通过,"2015-05-27 23:41:28"
1,2341204,登录百度帐号，并创作一个视频,河北省|保定市|北市区|景云道|,"Xiaomi  2014813","Android 4.4.4","WIFI ",中国移动,KTU84P,等了五分钟，依然没有制作好视频,点击制作后，选择了五个图片进行制作，等了五分钟，依然没有制作好视频。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/3516796_17b09217-75eb-48e7-89d6-028f46ad13a4.jpg""]",未知,P0,审核不通过,"2015-05-26 21:57:48"
0,2557765,在热门视频中选择感兴趣的视频观看,四川省|宜宾市|翠屏区|永兴街|37号,"Xiaomi  MI 2SC","Android 4.1.1","WIFI ",中国电信,JRO03L,"首次打开APP非常卡，不是手机的问题，打开其他APP都流畅，我是2G RAM的小米2S","首次打开APP非常卡，不是手机的问题，打开其他APP都流畅，我是2G RAM的小米2S，首次打开APP，一直显示在刷新，点击返回键，没有任何反应，强制清除后台程序后重新进入，没有问题了。","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/3516880_cc002e13-1f84-47b3-8611-a329ab497e46.jpg""]",已知,P2,审核通过,"2015-05-26 22:19:13"
1,2992927,登录百度帐号，并创作一个视频,吉林省|四平市|双辽市|北平胡同|,"samsung  SCl22","Android 4.4.2","WIFI ",中国移动,"hr1122 VIP 嘉嘉侠作品 移花接玉2015夏季版",选定图片之后开始上传，到第二张就开始不动了。,选定图片之后开始上传，到第二张就开始不动了，任务无法继续。此时家庭网络正常，另外的手机在WIFI下也能正常上网。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/3516799_a3aa6e85-de8c-49b8-8692-2da213c692db.jpg""]",未知,P0,审核不通过,"2015-05-26 22:01:05"
1,3003848,登录百度帐号，并创作一个视频,广东省|广州市|海珠区|南约新街|南4巷-11号,"Haier  HT-I860","Android 4.2.1","WIFI ",无SIM卡,HT-I860-H01-S02-CMCC,已登录，不显示百度用户名,打开应用，自动登录百度账号，但是不显示，在设置里也看不到，完全不知道登录了哪个百度账号，望改进。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/3531474_51677780-5ea5-4e93-9438-dafc66bfcca4.jpg""]",未知,P0,审核不通过,"2015-05-27 20:18:55"
1,3468894,登录百度帐号，并创作一个视频,山东省|枣庄市|滕州市|荆河东路|,"samsung  SM-G7108V","Android 4.3","WIFI ",中国移动,JLS36C.G7108VZMUANK2,制作过程背景图片泄漏隐私,制作过程背景图片泄漏隐私，为上一次百度云打开文件,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/3529971_bdf80af1-2b03-474b-aa2f-c3eba722c28b.jpg""]",未知,P0,审核不通过,"2015-05-27 18:58:07"
0,3469400,在热门视频中选择感兴趣的视频观看,北京|北京,"Xiaomi  MI 3W","Android 4.4.4","WIFI ",中国联通,KTU84P,点击全屏按钮的时候，app无响应了,在加载视频过程中，点击全屏，横屏，手机变得很慢，一会儿就弹出app无响应了,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/3539649_1e4aefd8-3003-4d26-9b5a-276b43f56592.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/3539648_933acb83-a693-4363-a448-951d1373eae4.jpg""]",已知,P3,审核通过,"2015-05-28 11:21:38"
1,3472296,登录百度帐号，并创作一个视频,北京市|北京市|朝阳区|来广营东路|,"samsung  SM-N9006","Android 4.3","WIFI ",中国联通,JSS15J.N9006ZCUBMJ3,制作按钮和分享按钮重叠,制作完视频后在我的页面查看，制作按钮和分享按钮重叠,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/3545167_1d31e978-f93d-4e4b-8342-5de95ab92051.jpg""]",未知,P0,审核不通过,"2015-05-28 17:39:45"
1,3695295,登录百度帐号，并创作一个视频,广东|惠州,"Huawei  HUAWEI U9508","Android 4.1.2","WIFI ",中国移动,U9508V100R001CHNC00B550,制作好的视频在草稿箱点击播放的时候播放1秒左右就立刻马上停止播放,制作好的视频在草稿箱点击播放的时候播放1秒左右就立刻马上停止播放,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/3513584_e52921c9-45b3-4b99-aea7-468b2704a33e.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/3513583_b392bf5c-cff4-4c28-9bf2-324573cddfd4.jpg""]",已知,P3,审核通过,"2015-05-26 18:57:59"
1,3841044,登录百度帐号，并创作一个视频,福建省|厦门市|思明区|望海路|43号,"Xiaomi  HM NOTE 1LTE","Android 4.4.4","WIFI ",中国联通,KTU84P,无法播放，已经提交截图，请查看,无法播放，已经提交截图，请查看无法播放，已经提交截图，请查看,[],未知,P0,审核不通过,"2015-05-27 10:37:38"
1,3957901,登录百度帐号，并创作一个视频,河南省|开封市|开封市市辖区|东陈庄路|,"vivo  vivo Y913","Android 4.4.4","WIFI ",中国移动,"KTU84P dev-keys",第一次播放后第二次再点击无法正常播放,制作好视频后，第一次播放完毕，第二次点击视频上的播放按钮后却再也无法播放！,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/3505757_9cf94423-b838-4d32-b653-e55e06966a86.jpg""]",已知,P3,审核通过,"2015-05-26 10:34:02"
1,4389442,登录百度帐号，并创作一个视频,河南省|郑州市|二七区|庆丰街|20号,"Huawei  HUAWEI G750-T01","Android 4.2.2","mobile HSDPA",中国移动,"G750-T01 V100R001CHNC00B145",在图片上传过程中死机了,打开百度大导演后点我的-进入选图片后点下一步，进入创作后点上传照片过程中死机点屏幕没反应,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/3504538_1735abd8-8860-46a8-8c6f-12480fea1b28.jpg""]",已知,P3,审核通过,"2015-05-26 09:11:52"
1,14062970,登录百度帐号，并创作一个视频,江苏省|无锡市|惠山区|G42(沪蓉高速公路)|,"Xiaomi  HM NOTE 1S","Android 4.4.4","mobile LTE",中国电信,KTU84P,程序打开，就提示出问题,点击打开，程序自动打开，但不一会儿，就提示“阿喔，大导演出现了点小问题，请重试一下吧”，但重试后还是如此,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/3532508_42904370-fb68-4ea7-8499-ed99e632aeee.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/3532507_d60ff8ef-ff37-4a3b-a167-0886c3c4740c.jpg""]",未知,P0,审核不通过,"2015-05-27 21:03:12"
1,14062970,登录百度帐号，并创作一个视频,江苏省|无锡市|惠山区|G42(沪蓉高速公路)|,"Xiaomi  HM NOTE 1S","Android 4.4.4","mobile LTE",中国电信,KTU84P,进入创作，不能修改昵称,选好照片，选好音乐，点击下一步，出现“导演，署个名呗”，但输入名字后，弹窗提示“修改昵称失败”,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/3532508_42904370-fb68-4ea7-8499-ed99e632aeee.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/3532507_d60ff8ef-ff37-4a3b-a167-0886c3c4740c.jpg""]",已知,P3,审核通过,"2015-05-27 21:03:12"
0,14536747,在热门视频中选择感兴趣的视频观看,黑龙江省|齐齐哈尔市|建华区|游览路|3号,"Xiaomi  2014813","Android 4.4.4","WIFI ",中国移动,KTU84P,能否有个分类啊这样用户也会根据自己的爱好去选择,可以在热映栏上，旅游的，婚假的，毕业的分开，分类栏里有些最近热映的就可以了,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/3506586_04dcd332-0926-4043-983f-47561ce4196f.jpg""]",未知,P0,审核不通过,"2015-05-26 11:52:27"
