case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间
0,287289,自由测试,吉林省|延边朝鲜族自治州|敦化市|敖东大街|2374,"Xiaomi  Redmi Note 2","Android 5.0.2","WIFI ",中国移动,LRX22G,"一  点击百度微任务
二  点击移动项目测试
三  点击安装卖座电影APP
四  安装完毕测试
五  打开首页后闪退","一  点击百度微任务
二  点击移动项目测试
三  点击安装卖座电影APP
四  安装完毕测试
五  打开首页后闪退","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/6911685_3772dd3f-6891-4f5b-917f-94d24f546b52.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/6911684_277f597c-f1df-47eb-84d8-61639d7c23a4.jpg""]",未知,P0,审核通过,"2015-11-13 02:55:55"
0,1865384,自由测试,河北省|衡水市|桃城区|新华西路|,"Xiaomi  2013022","Android 4.4.2","WIFI ",中国移动,"MIUI HBJ2.0",不算bug，算个建议吧，城市太少,app既然服务于生活，看得各个城市都有吧，反正我使用的时候，提示无法定位城市，找列表中也没有，都没有自己所在城市的信息，所以可定不会使用这个app的,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/6912517_5f01337b-8ebc-461a-9188-2d616be18584.jpg""]",未知,P0,审核不通过,"2015-11-13 08:18:14"
0,14376974,自由测试,广东省|广州市|越秀区|菜园东|11号,"Xiaomi  HM NOTE 1W","Android 4.4.2","WIFI ",中国联通,JH3CN0.0-9a804de0c54b914fc25fb,"闪退 突然闪退一次 怎么回事","在试玩APP的时候 点击了几个页面 突然闪退了 但是我又点击进去试玩就没有发现了","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/6903727_daffe9f0-dd7f-42e7-a906-9879bcbcf8d8.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/6903726_118b2390-ca24-48b6-bb06-2ed7de139b97.jpg""]",未知,P0,审核通过,"2015-11-12 22:21:51"
0,15403892,自由测试,浙江省|台州市|三门县||,"Meizu  m1 note","Android 5.1","WIFI ",中国联通,"Flyme OS 4.5.7A",选择一部电影，点击“立即购票”，接着选择相应的电影院，点击进入页面，并没有出现相应的电影场次以及购买的按钮，点击闪退。,选择一部电影，点击“立即购票”，接着选择相应的电影院，点击进入页面，并没有出现相应的电影场次以及购买的按钮，点击闪退。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/6912996_0a90fadd-13ac-403d-9171-08d1e7facaa7.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/6912995_392da73e-931c-41f2-9cfe-54da369dfb11.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/6912993_dc3974e3-bb54-4016-84ee-63403cf6a2d8.jpg""]",未知,P0,审核通过,"2015-11-13 08:44:03"
0,16467759,自由测试,广西壮族自治区|梧州市|藤县|G321|,"Teclast  X80HD(G2N8)","Android 4.4.4","WIFI ",无SIM卡,V1.01_20150716,评论后没有显示评论内容,点赞评论后，提交评论显示提交成功，但刷新后没有看到评论,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/6912563_c33b628f-9093-4098-af06-59d0584ad111.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/6912562_39243737-a306-4e57-9686-0dd7d04ff4d2.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/6912561_5986aa9f-09a7-4139-853a-341e6acb9825.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/6912560_76bc532e-91e5-4c5e-84ef-81f5a71a52aa.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/6912559_4b97c054-59ad-4d2a-be1e-f72e4960131c.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/6912558_253906dd-314f-42a3-bab6-ba2a4a79110b.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/6912557_8273305c-f96f-4253-b320-bc1147c442d7.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/6912556_9b16e920-ed2a-41c0-a573-f60874d6232a.jpg""]",未知,P0,审核通过,"2015-11-13 08:23:03"
